Time	CH0	CH1	CH2	CH3	CH4	CH5	CH6	CH7
5	96.00597382	95.91046906	95.73851013	96.07740784	95.87675476	36.53822708	16.97301292	24.50442314
10	96.03045654	95.93053436	95.77502441	96.1000824	95.91026306	36.51816177	17.0402317	24.44944572
15	96.07118988	95.96203613	95.80893707	96.12877655	95.92993164	36.31731033	17.29224777	24.45165253
20	96.10429382	95.99694824	95.8430481	96.16890717	95.95781708	36.32132339	17.37732315	24.48596382
25	96.14341736	96.03607178	95.88156891	96.21103668	96.00176239	36.43709946	17.40661812	24.44944572
30	96.18375397	96.07279205	95.90203857	96.23371124	96.05292511	36.5448494	17.41926003	24.41132164
35	96.20361328	96.08924866	95.94176483	96.28046417	96.07460022	36.51976776	17.34301186	24.39848137
40	96.23471832	96.13800049	95.98430634	96.31678009	96.1149292	36.42746735	17.31772995	24.39466858
45	96.29992676	96.16288757	96.0144043	96.35250092	96.15285492	36.34660721	17.21981239	24.38022232
50	96.32279968	96.19238281	96.06517029	96.38119507	96.20121002	36.26835251	17.25893974	24.33025932
55	96.35350037	96.25197601	96.09546661	96.41971588	96.22909546	36.09157944	17.4238739	24.34209824
60	96.41871643	96.28829193	96.16027832	96.46646881	96.29090118	35.89393997	17.76598358	24.36055756
65	96.46044922	96.32601166	96.19759369	96.52586365	96.34025574	35.76953506	18.00355339	24.40971756
70	96.51462555	96.40426636	96.24876404	96.58565521	96.39263153	35.84417725	17.94897652	24.45365906
75	96.56257629	96.45101929	96.30133057	96.63521576	96.42573547	35.77274704	17.89861298	24.47753716
80	96.62558746	96.50097656	96.35129547	96.68096161	96.49636841	35.74405289	18.1167202	24.49238586
85	96.6625061	96.56017303	96.39182281	96.73734283	96.53268433	35.94871902	18.41287994	24.54977036
90	96.72751617	96.61815643	96.46165466	96.78369904	96.58766174	36.44351959	18.57721329	24.62983131
95	96.77928162	96.66370392	96.49596405	96.83706665	96.64143372	36.4300766	18.57982063	24.65591431
100	96.8009491	96.70684814	96.56117249	96.88703156	96.67935944	36.30226517	18.53326988	24.69825172
105	96.85954285	96.76342773	96.61193848	96.9275589	96.73072815	36.36025238	18.44919777	24.62862587
110	96.89726257	96.78791046	96.62458038	96.96849823	96.76222992	36.33778	18.42431641	24.60394669
115	96.9365921	96.82924652	96.67253876	96.99638367	96.8077774	36.42164993	18.52825356	24.60274315
120	96.99116516	96.87037659	96.73012543	97.05256653	96.84168243	36.40981293	18.55594444	24.59893036
125	97.03511047	96.92956543	96.77466583	97.10594177	96.90267944	36.43790436	18.58624268	24.61317635
130	97.07925415	96.97592163	96.82182312	97.14968109	96.94903564	36.68450165	18.49073219	24.65049744
135	97.12480164	97.01905823	96.85432434	97.18540192	96.99458313	36.723629	18.43234253	24.65551376
140	97.1787796	97.06079102	96.91110992	97.23656464	97.04173279	36.58237076	18.50798798	24.67016029
145	97.22010803	97.11617279	96.95505524	97.27388763	97.09169769	36.3265419	18.60730934	24.69122887
150	97.27548981	97.17917633	97.01203918	97.33046722	97.12239075	36.02235794	18.73151207	24.72634315
155	97.3166275	97.21649933	97.05537415	97.39849091	97.17977905	35.74605942	18.77224541	24.75744438
160	97.36678314	97.2644577	97.11075592	97.43741608	97.25221252	35.54621124	18.80174065	24.75022125
165	97.4193573	97.32746124	97.17837524	97.50382996	97.31341553	35.7276001	18.71987534	24.82245445
